source_segment,country,state_province,city,facility_type,refinery_name_raw,refinery_name_clean,company_raw,company_clean,site_id,latitude,longitude,capacity_bpd_raw,capacity_m3_day_raw,peak_capacity_bpd,approx_nelson_complexity_proxy,complexity_confidence,status_raw,link_raw,flags,cat_cracking_fresh_feed_bpd,cat_cracking_recycled_feed_bpd,cat_hydrocracking_distillate_bpd,cat_hydrocracking_gas_oil_bpd,cat_hydrocracking_residual_bpd,cat_reforming_high_pressure_bpd,cat_reforming_low_pressure_bpd,vacuum_distillation_bpd,thermal_cracking_delayed_coking_bpd,thermal_cracking_fluid_coking_bpd,thermal_cracking_visbreaking_bpd,thermal_cracking_other_bpd,alkylates_bpd,isomerization_isobutane_bpd,isomerization_isopentane_isohexane_bpd,isomerization_isooctane_bpd,desulfurization_diesel_bpd,desulfurization_naphtha_reformer_feed_bpd,desulfurization_gasoline_bpd,desulfurization_heavy_gas_oil_bpd,desulfurization_kerosene_jet_bpd,desulfurization_other_distillate_bpd,desulfurization_other_bpd,desulfurization_residual_bpd,fuels_solvent_deasphalting_bpd,asphalt_road_oil_bpd,aromatics_bpd,lubricants_bpd,petcoke_market_bpd,hydrogen_mmcfd,sulfur_short_tons_per_day
north_america_manual_list,Canada,Ontario,Nanticoke,Refinery,Naticoke Refinery,naticoke-refinery,Imperial Oil,imperial-oil,canada|ontario|naticoke-refinery,42.924982,-79.94818,112000.0,,112000.0,,,,http://www.imperialoil.ca/Canada-English/Files/Nanticoke_TRP_Summary_Dec_2012.pdf,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,,Refinery,Edmonton,edmonton,Shell,shell,canada|alberta|edmonton,53.541111,-113.387778,100000.0,,100000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Algeria,Skikda,Skikda,Refinery,Sonatrach Skikda Refinery Algeria,sonatrach-skikda-refinery-algeria,Sonatrach,sonatrach,algeria|skikda|sonatrach-skikda-refinery-algeria,36.87311,6.97438,323000.0,51353.0,323000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Argentina,Buenos Aires,Ensenada,Refinery,Repsol YPF la Plata Refinery Argentina,repsol-ypf-la-plata-refinery-argentina,,,argentina|buenos-aires|repsol-ypf-la-plata-refinery-argentina,-34.87567,-57.92382,189000.0,30049.0,189000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Argentina,Mendoza,Lujan de Cuyo,Refinery,Repsol YPF Lujan de Cuyo Refinery Argentina,repsol-ypf-lujan-de-cuyo-refinery-argentina,,,argentina|mendoza|repsol-ypf-lujan-de-cuyo-refinery-argentina,-33.06757,-68.97048,106000.0,16853.0,106000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Aruba,Aruba,San Nicolas,Refinery,Valero Aruba Refinery Aruba,valero-aruba-refinery-aruba,Valero Refining Company-Aruba N.V.,valero-refining-company-aruba-n-v,aruba|aruba|valero-aruba-refinery-aruba,12.43146,-69.90272,275000.0,43721.0,275000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,New South Wales,Sutherland,Refinery,Caltex Kurnell Refinery,caltex-kurnell-refinery,,,australia|new-south-wales|caltex-kurnell-refinery,-34.01623,151.21703,117000.0,18601.0,117000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,New South Wales,Parramatta,Refinery,Shell Clyde Refinery,shell-clyde-refinery,,,australia|new-south-wales|shell-clyde-refinery,-33.82848,151.03766,100000.0,15899.0,100000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,Queensland,Brisbane,Refinery,Caltex Lytton Refinery,caltex-lytton-refinery,,,australia|queensland|caltex-lytton-refinery,-27.41307,153.15816,104000.0,16535.0,104000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,South Australia,Onkaparinga,Refinery,ExxonMobil Port Stanvac Refinery,exxonmobil-port-stanvac-refinery,,,australia|south-australia|exxonmobil-port-stanvac-refinery,-35.10694,138.4827,100000.0,15899.0,100000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,Victoria,Hobsons Bay,Refinery,ExxonMobil Altona Refinery,exxonmobil-altona-refinery,,,australia|victoria|exxonmobil-altona-refinery,-37.85014,144.85036,130000.0,20668.0,130000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,Victoria,Greater Geelong,Refinery,Shell Geelong Refinery,shell-geelong-refinery,,,australia|victoria|shell-geelong-refinery,-38.078,144.38181,130000.0,20668.0,130000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Australia,Western Australia,Kwinana,Refinery,BP Kwinana Refinery,bp-kwinana-refinery,,,australia|western-australia|bp-kwinana-refinery,-32.22658,115.7639,138000.0,21940.0,138000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Austria,Lower Austria,Wien Umgebung,Refinery,OMV Schwechat Refinery,omv-schwechat-refinery,,,austria|lower-austria|omv-schwechat-refinery,48.14442,16.49968,175000.0,27823.0,175000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Azerbaijan,Baku city,Baku,Refinery,SOCAR Azerineftyag Refinery,socar-azerineftyag-refinery,,,azerbaijan|baku-city|socar-azerineftyag-refinery,40.39641,49.91125,239000.0,37998.0,239000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Azerbaijan,Baku city,Baku,Refinery,SOCAR Haydar Aliev Refinery,socar-haydar-aliev-refinery,,,azerbaijan|baku-city|socar-haydar-aliev-refinery,40.43115,50.27612,200000.0,31797.0,200000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Belgium,Antwerp,Antwerpen,Refinery,Total Antwerp Refinery Belgium,total-antwerp-refinery-belgium,Total,total,belgium|antwerp|total-antwerp-refinery-belgium,51.26557,4.32158,360000.0,55963.0,360000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Belgium,Antwerp,Antwerpen,Refinery,Petroplus BRC Antwerp Refinery Belgium,petroplus-brc-antwerp-refinery-belgium,Petroplus (Belgian Refining Corporation N.V.),petroplus-belgian-refining-corporation-n-v,belgium|antwerp|petroplus-brc-antwerp-refinery-belgium,51.3343,4.2907,107500.0,17200.0,107500.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Belgium,Antwerp,Antwerpen,Refinery,ExxonMobil Antwerp Refinery Belgium,exxonmobil-antwerp-refinery-belgium,ExxonMobil,exxonmobil,belgium|antwerp|exxonmobil-antwerp-refinery-belgium,51.25477,4.34045,270000.0,43000.0,270000.0,,,Operating Fully,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Brazil,Bahia,Sao Francisco do Conde,Refinery,Petrobras RLAM (Landulpho Alves) Sao Francisco do Conde Refinery,petrobras-rlam-landulpho-alves-sao-francisco-do-conde-refinery,,,brazil|bahia|petrobras-rlam-landulpho-alves-sao-francisco-do-conde-refinery,-12.708529,-38.570009,307000.0,48809.0,307000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Brazil,Minas Gerais,Betim,Refinery,Petrobras REGAP (Gabriel Passos) Betim Refinery,petrobras-regap-gabriel-passos-betim-refinery,,,brazil|minas-gerais|petrobras-regap-gabriel-passos-betim-refinery,-19.97676,-44.09681,151000.0,24007.0,151000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Brazil,Parana,Araucaria,Refinery,Petrobras REPAR (Pres. Getulio Vargas) Araucaria Refinery,petrobras-repar-pres-getulio-vargas-araucaria-refinery,,,brazil|parana|petrobras-repar-pres-getulio-vargas-araucaria-refinery,-25.56763,-49.35821,196000.0,31161.0,196000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Brazil,Rio de Janeiro,Duque de Caxias,Refinery,Petrobras REDUC (Duque de Caxias) Refinery,petrobras-reduc-duque-de-caxias-refinery,,,brazil|rio-de-janeiro|petrobras-reduc-duque-de-caxias-refinery,-22.71987,-43.26698,242000.0,38475.0,242000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_geo_like,Brazil,Rio Grande do Sul,Canoas,Refinery,Petrobras REFAP (Alberto Pasqualini) Canoas Refinery,petrobras-refap-alberto-pasqualini-canoas-refinery,,,brazil|rio-grande-do-sul|petrobras-refap-alberto-pasqualini-canoas-refinery,-29.87439,-51.16544,189000.0,30049.0,189000.0,,,,,international_geo_like_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
